name_ja,y,x
札幌市,43.061972,141.354374
青森市,40.82264,140.746957
盛岡市,39.701795,141.154183
仙台市,38.268008,140.869617
秋田市,39.719929,140.102512
山形市,38.255436,140.339605
福島市,37.76083,140.474747
水戸市,36.365861,140.471222
宇都宮市,36.555115,139.882807
前橋市,36.389413,139.063493
さいたま市,35.861515,139.645502
千葉市,35.607331,140.10638
東京,35.689444,139.69167
横浜市,35.450195,139.634903
新潟市,37.916128,139.036402
富山市,36.695982,137.213449
金沢市,36.561051,136.656633
福井市,36.06412,136.219452
甲府市,35.662033,138.568339
長野市,36.648631,138.194287
岐阜市,35.423301,136.760657
静岡市,34.975473,138.382388
名古屋市,35.181433,136.906421
津市,34.718563,136.505443
大津市,35.018357,135.854666
京都市,35.011574,135.768181
大阪市,34.693891,135.502046
神戸市,34.689495,135.195728
奈良市,34.685117,135.804995
和歌山市,34.230514,135.170808
鳥取市,35.494376,134.222133
松江市,35.468039,133.048527
岡山市,34.655107,133.919566
広島市,34.385253,132.455337
山口市,34.178178,131.473511
徳島市,34.070234,134.554713
高松市,34.342791,134.046574
松山市,33.839157,132.765556
高知市,33.558722,133.531094
福岡市,33.590313,130.401735
佐賀市,33.263543,130.300835
長崎市,32.750311,129.877906
熊本市,32.803078,130.707897
大分市,33.239526,131.609377
宮崎市,31.907676,131.420244
鹿児島市,31.596789,130.557339
那覇市,26.212295,127.679218
